,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
492,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_9,8,B1,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,0.3991719,
493,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_9,8,B2,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,0.40927143,
494,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_9,8,B3,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,0.40782864,
495,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_9,8,B4,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,0.39340074,
496,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_9,8,B5,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,0.41071422,
497,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_9,8,B6,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,0.43572258,
498,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A1,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,0.35396448,
499,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A2,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,0.36646866,
500,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A3,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,0.37560633,
501,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A4,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,0.38330121,
502,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A5,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,0.36117843,
503,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A6,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,0.47083047,
504,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A7,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,0.45495978,
505,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A8,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,0.41937096,
506,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A9,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,0.45351699,
507,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A10,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,0.4472649,
508,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A11,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,0.45976908,
509,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,A12,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,0.46217373,
510,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B1,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,0.37320168,
511,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B2,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,0.39388167,
512,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B3,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,0.43091328,
513,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B4,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,0.42177561,
514,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B5,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,0.41552352,
515,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B6,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,0.40927143,
516,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B7,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.45063141,
517,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B8,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.46409745,
518,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B9,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.42418026,
519,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B10,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.41937096,
520,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B11,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.43235607,
521,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,B12,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.42081375,
522,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C1,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.44149374,
523,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C2,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.44486025,
524,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C3,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.45111234,
525,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C4,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.43235607,
526,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C5,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.51507603,
527,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C6,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.49680069,
528,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C7,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.49102953,
529,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C8,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.46698303,
530,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C9,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.50593836,
531,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C10,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.45928815,
532,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C11,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.45976908,
533,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_10,8,C12,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,0.45111234,
534,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A1,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.45159327,
535,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A2,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.43235607,
536,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A3,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.45495978,
537,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A4,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.44149374,
538,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A5,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.46361652,
539,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A6,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.45159327,
540,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A7,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.40590492,
541,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A8,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.37175889,
542,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A9,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.37656819,
543,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A10,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.37175889,
544,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A11,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.36983517,
545,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,A12,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,0.37272075,
546,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B1,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,0.46794489,
547,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B2,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,0.44101281,
548,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B3,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,0.46025001,
549,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B4,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,0.46217373,
550,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B5,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,0.47083047,
551,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B6,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,0.49728162,
552,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B7,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,0.61943784,
553,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B8,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,0.36887331,
554,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B9,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,0.52565649,
555,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B10,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,0.43572258,
556,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B11,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,0.3751254,
557,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_11,8,B12,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,0.37945377,
558,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A1,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,2.37819885,7.14
559,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A2,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,2.40801651,
560,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A3,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,2.57393736,
561,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A4,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,2.59365549,
562,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A5,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,2.54460063,
563,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A6,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,2.44600998,
564,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A7,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.5300262,2.2
565,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A8,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.52377411,
566,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A9,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.66228195,
567,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A10,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.52954527,
568,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A11,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.30350817,
569,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,A12,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.4386495,
570,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,B1,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,3.92823624,12.78
571,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,B2,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,3.21694077,
572,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,B3,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,2.73456798,
573,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,B4,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,2.18005569,
574,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,B5,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,2.3661756,
575,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_12,16,B6,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,2.09925945,
576,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A1,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,1.83955725,0.68
577,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A2,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.01846321,
578,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A3,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.13869571,
579,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A4,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,1.92564372,
580,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A5,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.06463249,
581,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A6,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,1.91602512,
582,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A7,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,2.86778559,15.31
583,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A8,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,2.9673381,
584,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A9,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,2.91203115,
585,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A10,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,2.94617718,
586,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A11,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,2.87307582,
587,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,A12,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,2.83219677,
588,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B1,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,5.23925142,2.7
589,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B2,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,4.99061061,
590,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B3,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,4.94107482,
591,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B4,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,5.60812473,
592,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B5,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,4.28556723,
593,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B6,6,5.8,25,5,1,3.0,0.8,1,0.3,0,,225,1,3.14239662,
594,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B7,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.73534197,0.66
595,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B8,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.72524244,
596,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B9,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.67955409,
597,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B10,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.70167687,
598,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B11,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.72379965,
599,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,B12,7,5.8,5,5,1,0.5,2.0,1,0.3,0,,225,1,0.70889082,
600,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C1,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.60168477,2.83
601,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C2,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.92727438,
602,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C3,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.96526785,
603,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C4,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.76327725,
604,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C5,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,4.232184,
605,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C6,8,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,4.23122214,
606,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C7,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.86763906,2.05
607,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C8,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.85609674,
608,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C9,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.92583159,
609,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C10,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.87341022,
610,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C11,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.90851811,
611,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_13,16,C12,9,5.8,15,5,1,1.75,1.4,1,0.3,0,,225,1,3.83878326,
612,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A1,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,4.6554024,0.0
613,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A2,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,4.66309728,
614,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A3,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,4.68041076,
615,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A4,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,4.70301447,
616,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A5,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,4.64482194,
617,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A6,10,5.0,15,5,1,1.75,0.8,1,0.3,0,,300,1,4.42840344,
618,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A7,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,2.19448359,6.26
619,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A8,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,2.99956041,
620,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A9,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,3.15105336,
621,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A10,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,2.19640731,
622,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A11,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,3.03418737,
623,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,A12,11,6.5,15,5,1,1.75,0.8,1,0.3,0,,300,1,2.981766,
624,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B1,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,3.13470174,0.0
625,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B2,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,3.23810169,
626,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B3,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,3.33236397,
627,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B4,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,3.3328449,
628,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B5,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,3.24916308,
629,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B6,12,5.8,5,5,1,3.0,1.4,1,0.3,0,,300,1,3.27657609,
630,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B7,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,2.59654107,0.0
631,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B8,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,2.54027226,
632,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B9,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,2.50804995,
633,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B10,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,2.52343971,
634,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B11,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,2.43687231,
635,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_14,16,B12,13,6.5,5,5,1,3.0,0.8,1,0.3,0,,300,1,2.34838119,
636,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A1,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.67334334,
637,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A2,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.55647735,
638,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A3,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.4915518,
639,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A4,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.64641126,
640,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A5,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.5492634,
641,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A6,1,6.5,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.47039088,
642,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A7,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,4.0301934,
643,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A8,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.97055808,
644,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A9,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.93593112,
645,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A10,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.96574878,
646,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A11,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.90803718,
647,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,A12,2,5.0,15,5,1,1.75,2.0,1,0.3,0,,150,1,3.99556644,
648,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,B1,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,3.11305989,
649,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,B2,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,3.05919573,
650,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,B3,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,2.91491673,
651,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,B4,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,3.11738826,
652,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,B5,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,3.07699014,
653,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_15,24,B6,3,5.8,25,5,1,0.5,1.4,1,0.3,0,,150,1,3.33717327,
654,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A1,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.33299143,
655,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A2,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.24209566,
656,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A3,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.40657372,
657,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A4,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.46813276,
658,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A5,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.29692168,
659,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A6,4,6.5,5,5,1,3.0,1.4,1,0.3,0,,225,1,2.41667325,
660,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A7,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,3.23136867,
661,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A8,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,3.43913043,
662,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A9,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,3.29340864,
663,Strain A,SC_drop_out,Round_1_Definitive_screening_design,plate_16,24,A10,5,5.0,25,5,1,0.5,1.4,1,0.3,0,,225,1,3.19048962,
