,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
33,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,C10,9,4.5,35,12.0,0.6,0.5,0.1,0.0,0.0,5.0,2,300,1,6.868948524,
34,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,C11,9,4.5,35,12.0,0.6,0.5,0.1,0.0,0.0,5.0,3,300,1,6.739593516,
35,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,C12,9,4.5,35,12.0,0.6,0.5,0.1,0.0,0.0,5.0,4,300,1,6.660060535,
36,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D1,10,5.5,35,12.0,1.0,2.0,3.5,0.5,0.5,5.0,1,300,1,5.959976309,18.36
37,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D2,10,5.5,35,12.0,1.0,2.0,3.5,0.5,0.5,5.0,2,300,1,5.816307082,
38,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D3,10,5.5,35,12.0,1.0,2.0,3.5,0.5,0.5,5.0,3,300,1,5.767737011,
39,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D4,10,5.5,35,12.0,1.0,2.0,3.5,0.5,0.5,5.0,4,300,1,5.920412047,
40,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D5,11,5.5,25,7.5,0.6,1.25,1.8,0.25,0.25,2.5,1,300,1,6.805206882,10.05
41,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D6,11,5.5,25,7.5,0.6,1.25,1.8,0.25,0.25,2.5,2,300,1,7.139286216,
42,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D7,11,5.5,25,7.5,0.6,1.25,1.8,0.25,0.25,2.5,3,300,1,6.283097033,
43,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D8,11,5.5,25,7.5,0.6,1.25,1.8,0.25,0.25,2.5,4,300,1,6.895943922,
44,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,D9,12,5.5,15,3.0,0.2,0.5,0.1,0.0,0.0,0.0,1,300,1,7.643912336,0.53
